"","date","dji"
"1",1896-05-26,40.94
"2",1896-05-27,40.58
"3",1896-05-28,40.2
"4",1896-05-29,40.63
"5",1896-06-01,40.6
"6",1896-06-02,40.04
"7",1896-06-03,39.77
"8",1896-06-04,39.94
"9",1896-06-05,40.32
"10",1896-06-08,39.81
"11",1896-06-09,39.34
"12",1896-06-10,38.41
"13",1896-06-11,39.4
"14",1896-06-12,39.31
"15",1896-06-15,39.93
"16",1896-06-16,40.45
"17",1896-06-17,40.54
"18",1896-06-18,39.76
"19",1896-06-19,40.03
"20",1896-06-22,38.73
"21",1896-06-23,38.14
"22",1896-06-24,38.27
"23",1896-06-25,37.97
"24",1896-06-26,37.89
"25",1896-06-29,35.53
"26",1896-06-30,36.15
"27",1896-07-01,34.59
"28",1896-07-02,34.91
"29",1896-07-03,34.74
"30",1896-07-06,34.87
"31",1896-07-07,35.15
"32",1896-07-08,35.19
"33",1896-07-09,34.68
"34",1896-07-10,34.84
"35",1896-07-13,34.69
"36",1896-07-14,33.43
"37",1896-07-15,32.28
"38",1896-07-16,31.95
"39",1896-07-17,31.94
"40",1896-07-20,30.5
"41",1896-07-21,30.68
"42",1896-07-22,31.99
"43",1896-07-23,32.29
"44",1896-07-24,31.54
"45",1896-07-27,31.46
"46",1896-07-28,30.82
"47",1896-07-29,30.97
"48",1896-07-30,31.48
"49",1896-07-31,32.02
"50",1896-08-03,31.49
"51",1896-08-04,30.99
"52",1896-08-05,30.93
"53",1896-08-06,29.99
"54",1896-08-07,28.66
"55",1896-08-10,28.96
"56",1896-08-11,30.3
"57",1896-08-12,29.37
"58",1896-08-13,30.37
"59",1896-08-14,30.73
"60",1896-08-17,31.06
"61",1896-08-18,30.99
"62",1896-08-19,31.31
"63",1896-08-20,30.72
"64",1896-08-21,30.55
"65",1896-08-24,30.67
"66",1896-08-25,30.61
"67",1896-08-26,30.29
"68",1896-08-27,30.31
"69",1896-08-28,30.88
"70",1896-08-31,31.97
"71",1896-09-01,32.02
"72",1896-09-02,33.49
"73",1896-09-03,33.8
"74",1896-09-04,34.7
"75",1896-09-08,35.5
"76",1896-09-09,35.39
"77",1896-09-10,34.58
"78",1896-09-11,35.3
"79",1896-09-14,34.86
"80",1896-09-15,34.13
"81",1896-09-16,33.32
"82",1896-09-17,34.33
"83",1896-09-18,34.81
"84",1896-09-21,35.53
"85",1896-09-22,35.59
"86",1896-09-23,35.78
"87",1896-09-24,36.23
"88",1896-09-25,36.61
"89",1896-09-28,36.35
"90",1896-09-29,36.33
"91",1896-09-30,36.05
"92",1896-10-01,36.01
"93",1896-10-02,35.88
"94",1896-10-05,35.92
"95",1896-10-06,35.91
"96",1896-10-07,35.3
"97",1896-10-08,35.42
"98",1896-10-09,34.96
"99",1896-10-12,34.74
"100",1896-10-13,36.18
"101",1896-10-14,36.15
"102",1896-10-15,36.2
"103",1896-10-16,36.26
"104",1896-10-19,36.5
"105",1896-10-20,37.42
"106",1896-10-21,37.32
"107",1896-10-22,37.86
"108",1896-10-23,38.49
"109",1896-10-26,38.71
"110",1896-10-27,38.88
"111",1896-10-28,38.39
"112",1896-10-29,37.75
"113",1896-10-30,39.4
"114",1896-11-02,40.93
"115",1896-11-04,42.79
"116",1896-11-05,41.86
"117",1896-11-06,43.33
"118",1896-11-09,44.44
"119",1896-11-10,44.56
"120",1896-11-11,44.33
"121",1896-11-12,44.9
"122",1896-11-13,44.5
"123",1896-11-16,43.59
"124",1896-11-17,43.59
"125",1896-11-18,43.63
"126",1896-11-19,43.44
"127",1896-11-20,43.24
"128",1896-11-23,42.95
"129",1896-11-24,42.71
"130",1896-11-25,42.47
"131",1896-11-27,41.9
"132",1896-11-30,41
"133",1896-12-01,41.98
"134",1896-12-02,41.95
"135",1896-12-03,42.22
"136",1896-12-04,42.07
"137",1896-12-07,41.58
