Month,Clsidx,Idxrtn
1990-12,127.61,0
1991-01,129.97,0.018494
1991-02,133.01,0.02339
1991-03,120.19,-0.096384
1991-04,113.94,-0.052001
1991-05,114.83,0.007811
1991-06,137.56,0.197945
1991-07,143.8,0.045362
1991-08,178.43,0.240821
1991-09,180.92,0.013955
1991-10,218.6,0.208269
1991-11,259.6,0.187557
1991-12,292.75,0.127696
1992-01,313.24,0.069991
1992-02,364.66,0.164155
1992-03,381.24,0.045467
1992-04,445.38,0.16824
1992-05,1234.71,1.772262
1992-06,1191.19,-0.035247
1992-07,1052.07,-0.116791
1992-08,823.27,-0.217476
1992-09,702.32,-0.146914
1992-10,507.25,-0.277751
1992-11,724.6,0.428487
1992-12,780.39,0.076994
1993-01,1198.48,0.535745
1993-02,1339.88,0.117983
1993-03,925.91,-0.308961
1993-04,1358.78,0.467508
1993-05,935.48,-0.311529
1993-06,1007.05,0.076506
1993-07,881.07,-0.125098
1993-08,895.68,0.016582
1993-09,890.27,-0.00604
1993-10,814.82,-0.08475
1993-11,984.93,0.20877
1993-12,833.8,-0.153442
1994-01,770.25,-0.076217
1994-02,770.98,0.000948
1994-03,704.46,-0.08628
1994-04,592.56,-0.158845
1994-05,556.26,-0.06126
1994-06,469.29,-0.156348
1994-07,333.92,-0.288457
1994-08,785.33,1.351851
1994-09,791.15,0.007411
1994-10,654.98,-0.172117
1994-11,683.59,0.043681
1994-12,647.87,-0.052254
1995-01,562.59,-0.131631
1995-02,549.26,-0.023694
1995-03,646.92,0.177803
1995-04,579.93,-0.103552
1995-05,700.51,0.207922
1995-06,630.58,-0.099827
1995-07,695.55,0.103032
1995-08,723.87,0.040716
1995-09,722.43,-0.001989
1995-10,717.32,-0.007073
1995-11,641.14,-0.106201
1995-12,555.29,-0.133902
1996-01,537.35,-0.032307
1996-02,552.94,0.029013
1996-03,556.39,0.006239
1996-04,681.16,0.224249
1996-05,643.65,-0.055068
1996-06,804.25,0.249514
1996-07,822.48,0.022667
1996-08,809.94,-0.015247
1996-09,875.53,0.080981
1996-10,976.71,0.115564
1996-11,1032.95,0.057581
1996-12,917.02,-0.112232
1997-01,964.74,0.052038
1997-02,1040.27,0.078291
1997-03,1234.62,0.186826
1997-04,1393.75,0.12889
1997-05,1285.18,-0.077898
1997-06,1250.27,-0.027164
1997-07,1189.76,-0.048398
1997-08,1221.06,0.026308
1997-09,1097.38,-0.101289
1997-10,1180.39,0.075644
