"","permno","date","bidlo","askhi","openprc","prc","vol"
"1",14593,2015-01-02,107.349998474121,111.440002441406,111.389999389648,109.330001831055,53204828
"2",14593,2015-01-05,105.410003662109,108.650001525879,108.290000915527,106.25,64289001
"3",14593,2015-01-06,104.629997253418,107.430000305176,106.540000915527,106.26000213623,65797116
"4",14593,2015-01-07,106.694999694824,108.199996948242,107.199996948242,107.75,40106644
"5",14593,2015-01-08,108.699996948242,112.150001525879,109.230003356934,111.889999389648,59364547
"6",14593,2015-01-09,110.209999084473,113.25,112.669998168945,112.01000213623,53699527
"7",14593,2015-01-12,108.800003051758,112.629997253418,112.599998474121,109.25,50152790
"8",14593,2015-01-13,108.910003662109,112.800003051758,111.430000305176,110.220001220703,67091928
"9",14593,2015-01-14,108.5,110.48999786377,109.040000915527,109.800003051758,48956588
"10",14593,2015-01-15,106.660003662109,110.059997558594,110,106.819999694824,60013996
"11",14593,2015-01-16,105.199996948242,107.580001831055,107.029998779297,105.98999786377,78535195
"12",14593,2015-01-20,106.5,108.966697692871,107.839996337891,108.720001220703,49901907
"13",14593,2015-01-21,108.269996643066,111.059997558594,108.949996948242,109.550003051758,48575897
"14",14593,2015-01-22,109.720001220703,112.470001220703,110.26000213623,112.400001525879,53796409
"15",14593,2015-01-23,111.529998779297,113.75,112.300003051758,112.980003356934,46469968
"16",14593,2015-01-26,112.800003051758,114.362602233887,113.73999786377,113.099998474121,55622429
"17",14593,2015-01-27,109.029998779297,112.480003356934,112.419998168945,109.139999389648,95577449
"18",14593,2015-01-28,115.309997558594,118.120002746582,117.625,115.309997558594,146927226
"19",14593,2015-01-29,115.559997558594,119.190002441406,116.319999694824,118.900001525879,84436432
"20",14593,2015-01-30,116.849998474121,120,118.400001525879,117.160003662109,83753961
"21",14593,2015-02-02,116.080001831055,119.169998168945,118.050003051758,118.629997253418,62739949
"22",14593,2015-02-03,117.610000610352,119.089996337891,118.5,118.650001525879,51915749
"23",14593,2015-02-04,118.30899810791,120.51000213623,118.5,119.559997558594,70149828
"24",14593,2015-02-05,119.25,120.230003356934,120.019996643066,119.940002441406,42246245
"25",14593,2015-02-06,118.449996948242,120.25,120.019996643066,118.930000305176,43706570
"26",14593,2015-02-09,118.430000305176,119.839996337891,118.550003051758,119.720001220703,38889797
"27",14593,2015-02-10,120.160003662109,122.150001525879,120.169998168945,122.019996643066,62150444
"28",14593,2015-02-11,122.5,124.919998168945,122.769996643066,124.879997253418,73605454
"29",14593,2015-02-12,125.569999694824,127.480003356934,126.059997558594,126.459999084473,74474866
